student_id,student_name,student_gender,class_level,course_name,assessment_no,assessment_score,raised_hand_count,moodle_views,attendance_rate,resources_downloads
1000,Student_1000,F,C1,Mathematics,1,68,14,42,67,20
1000,Student_1000,F,C1,Mathematics,2,78,18,22,70,10
1000,Student_1000,F,C1,Mathematics,3,63,20,35,99,2
1000,Student_1000,F,C1,Mathematics,4,61,20,1,83,11
1000,Student_1000,F,C1,Science,1,69,5,1,80,0
1000,Student_1000,F,C1,Science,2,51,11,24,86,9
1000,Student_1000,F,C1,Science,3,67,15,14,62,4
1000,Student_1000,F,C1,Science,4,90,6,20,68,6
1000,Student_1000,F,C1,Biology,1,57,3,24,73,17
1000,Student_1000,F,C1,Biology,2,97,8,25,61,19
1000,Student_1000,F,C1,Biology,3,67,14,6,67,14
1000,Student_1000,F,C1,Biology,4,74,13,16,95,17
1000,Student_1000,F,C1,Chemistry,1,79,3,1,65,9
1000,Student_1000,F,C1,Chemistry,2,43,17,25,93,9
1000,Student_1000,F,C1,Chemistry,3,75,13,30,74,7
1000,Student_1000,F,C1,Chemistry,4,53,7,20,75,12
1000,Student_1000,F,C1,Computer,1,57,14,23,85,12
1000,Student_1000,F,C1,Computer,2,80,14,44,60,6
1000,Student_1000,F,C1,Computer,3,48,0,43,67,10
1000,Student_1000,F,C1,Computer,4,90,16,7,94,2
1001,Student_1001,M,C1,Mathematics,1,98,4,41,98,8
1001,Student_1001,M,C1,Mathematics,2,67,6,8,67,11
1001,Student_1001,M,C1,Mathematics,3,73,0,47,82,4
1001,Student_1001,M,C1,Mathematics,4,74,11,39,81,2
1001,Student_1001,M,C1,Science,1,40,2,36,73,2
1001,Student_1001,M,C1,Science,2,40,4,25,73,6
1001,Student_1001,M,C1,Science,3,66,8,14,74,9
1001,Student_1001,M,C1,Science,4,99,12,50,91,6
1001,Student_1001,M,C1,Biology,1,88,19,31,63,4
1001,Student_1001,M,C1,Biology,2,62,6,44,74,10
1001,Student_1001,M,C1,Biology,3,68,3,12,91,6
1001,Student_1001,M,C1,Biology,4,98,18,21,87,1
1001,Student_1001,M,C1,Chemistry,1,81,12,5,87,11
1001,Student_1001,M,C1,Chemistry,2,83,19,29,70,6
1001,Student_1001,M,C1,Chemistry,3,72,0,26,72,8
1001,Student_1001,M,C1,Chemistry,4,42,6,5,67,8
1001,Student_1001,M,C1,Computer,1,76,0,50,83,14
1001,Student_1001,M,C1,Computer,2,98,8,48,71,6
1001,Student_1001,M,C1,Computer,3,41,2,48,96,16
1001,Student_1001,M,C1,Computer,4,95,16,48,61,1
1002,Student_1002,F,C1,Mathematics,1,93,4,31,92,0
1002,Student_1002,F,C1,Mathematics,2,58,1,43,85,5
1002,Student_1002,F,C1,Mathematics,3,71,3,10,76,5
1002,Student_1002,F,C1,Mathematics,4,63,4,33,65,10
1002,Student_1002,F,C1,Science,1,87,15,32,68,5
1002,Student_1002,F,C1,Science,2,55,2,19,95,18
1002,Student_1002,F,C1,Science,3,65,2,18,79,6
1002,Student_1002,F,C1,Science,4,91,8,32,99,6
1002,Student_1002,F,C1,Biology,1,57,7,0,70,17
1002,Student_1002,F,C1,Biology,2,62,9,34,66,15
1002,Student_1002,F,C1,Biology,3,65,15,48,61,0
1002,Student_1002,F,C1,Biology,4,87,11,4,96,8
1002,Student_1002,F,C1,Chemistry,1,80,2,18,75,2
1002,Student_1002,F,C1,Chemistry,2,59,0,23,70,16
1002,Student_1002,F,C1,Chemistry,3,47,3,37,99,19
1002,Student_1002,F,C1,Chemistry,4,74,15,24,94,17
1002,Student_1002,F,C1,Computer,1,85,17,1,94,15
1002,Student_1002,F,C1,Computer,2,100,8,35,92,3
1002,Student_1002,F,C1,Computer,3,72,13,20,79,7
1002,Student_1002,F,C1,Computer,4,46,2,16,92,15
1003,Student_1003,F,C1,Mathematics,1,98,18,21,81,13
1003,Student_1003,F,C1,Mathematics,2,69,5,37,67,1
1003,Student_1003,F,C1,Mathematics,3,60,0,27,92,4
1003,Student_1003,F,C1,Mathematics,4,99,15,18,63,2
1003,Student_1003,F,C1,Science,1,88,16,43,87,13
1003,Student_1003,F,C1,Science,2,92,5,34,100,4
1003,Student_1003,F,C1,Science,3,63,16,45,90,2
1003,Student_1003,F,C1,Science,4,99,0,20,91,0
1003,Student_1003,F,C1,Biology,1,42,17,24,90,2
1003,Student_1003,F,C1,Biology,2,79,13,23,91,14
1003,Student_1003,F,C1,Biology,3,61,1,26,61,16
1003,Student_1003,F,C1,Biology,4,79,0,8,98,9
1003,Student_1003,F,C1,Chemistry,1,94,2,49,84,12
1003,Student_1003,F,C1,Chemistry,2,99,6,35,79,0
1003,Student_1003,F,C1,Chemistry,3,47,13,15,73,11
1003,Student_1003,F,C1,Chemistry,4,90,14,27,93,1
1003,Student_1003,F,C1,Computer,1,71,18,24,81,16
1003,Student_1003,F,C1,Computer,2,91,9,5,74,10
1003,Student_1003,F,C1,Computer,3,99,4,32,67,20
1003,Student_1003,F,C1,Computer,4,99,11,43,64,6
1004,Student_1004,F,C1,Mathematics,1,45,12,31,89,14
1004,Student_1004,F,C1,Mathematics,2,74,7,15,72,17
1004,Student_1004,F,C1,Mathematics,3,99,9,29,78,16
1004,Student_1004,F,C1,Mathematics,4,95,18,27,85,4
1004,Student_1004,F,C1,Science,1,65,20,22,68,11
1004,Student_1004,F,C1,Science,2,92,0,0,93,15
1004,Student_1004,F,C1,Science,3,64,7,44,60,15
1004,Student_1004,F,C1,Science,4,100,6,4,81,2
1004,Student_1004,F,C1,Biology,1,51,15,50,96,13
1004,Student_1004,F,C1,Biology,2,67,4,46,89,13
1004,Student_1004,F,C1,Biology,3,91,4,11,75,15
1004,Student_1004,F,C1,Biology,4,60,6,35,92,4
1004,Student_1004,F,C1,Chemistry,1,62,9,4,95,1
1004,Student_1004,F,C1,Chemistry,2,91,9,18,91,0
1004,Student_1004,F,C1,Chemistry,3,95,4,44,63,15
1004,Student_1004,F,C1,Chemistry,4,63,15,1,87,19
1004,Student_1004,F,C1,Computer,1,63,11,49,94,0
1004,Student_1004,F,C1,Computer,2,72,18,42,96,11
1004,Student_1004,F,C1,Computer,3,42,0,32,99,9
1004,Student_1004,F,C1,Computer,4,82,11,28,72,11
1005,Student_1005,M,C1,Mathematics,1,85,1,50,94,16
1005,Student_1005,M,C1,Mathematics,2,65,7,28,85,9
1005,Student_1005,M,C1,Mathematics,3,65,1,50,100,6
1005,Student_1005,M,C1,Mathematics,4,43,20,49,70,3
1005,Student_1005,M,C1,Science,1,64,20,35,69,4
1005,Student_1005,M,C1,Science,2,48,2,48,94,15
1005,Student_1005,M,C1,Science,3,75,17,48,98,4
1005,Student_1005,M,C1,Science,4,51,16,12,82,2
1005,Student_1005,M,C1,Biology,1,80,16,48,79,15
1005,Student_1005,M,C1,Biology,2,64,12,18,95,11
1005,Student_1005,M,C1,Biology,3,100,8,18,71,8
1005,Student_1005,M,C1,Biology,4,46,13,30,78,14
1005,Student_1005,M,C1,Chemistry,1,55,20,4,94,11
1005,Student_1005,M,C1,Chemistry,2,64,19,20,95,20
1005,Student_1005,M,C1,Chemistry,3,62,15,38,98,13
1005,Student_1005,M,C1,Chemistry,4,70,4,34,82,10
1005,Student_1005,M,C1,Computer,1,50,17,46,71,8
1005,Student_1005,M,C1,Computer,2,49,11,16,97,6
1005,Student_1005,M,C1,Computer,3,85,12,39,68,17
1005,Student_1005,M,C1,Computer,4,66,1,4,88,4
1006,Student_1006,F,C1,Mathematics,1,58,7,47,60,19
1006,Student_1006,F,C1,Mathematics,2,56,6,24,63,3
1006,Student_1006,F,C1,Mathematics,3,45,18,43,98,9
1006,Student_1006,F,C1,Mathematics,4,65,18,38,62,12
1006,Student_1006,F,C1,Science,1,52,17,27,79,7
1006,Student_1006,F,C1,Science,2,100,8,38,60,2
1006,Student_1006,F,C1,Science,3,52,16,24,92,5
1006,Student_1006,F,C1,Science,4,92,5,43,91,12
1006,Student_1006,F,C1,Biology,1,100,14,20,75,20
1006,Student_1006,F,C1,Biology,2,50,4,35,94,18
1006,Student_1006,F,C1,Biology,3,59,17,46,100,16
1006,Student_1006,F,C1,Biology,4,53,14,30,60,20
1006,Student_1006,F,C1,Chemistry,1,93,2,15,82,10
1006,Student_1006,F,C1,Chemistry,2,51,9,31,75,7
1006,Student_1006,F,C1,Chemistry,3,77,11,23,87,20
1006,Student_1006,F,C1,Chemistry,4,47,3,25,67,17
1006,Student_1006,F,C1,Computer,1,67,4,40,95,16
1006,Student_1006,F,C1,Computer,2,48,0,19,72,15
1006,Student_1006,F,C1,Computer,3,68,12,45,94,5
1006,Student_1006,F,C1,Computer,4,57,18,4,84,1
1007,Student_1007,F,C1,Mathematics,1,95,17,44,64,0
1007,Student_1007,F,C1,Mathematics,2,93,0,17,91,14
1007,Student_1007,F,C1,Mathematics,3,88,10,20,85,16
1007,Student_1007,F,C1,Mathematics,4,52,0,33,100,2
1007,Student_1007,F,C1,Science,1,40,20,47,65,16
1007,Student_1007,F,C1,Science,2,44,4,37,62,20
1007,Student_1007,F,C1,Science,3,62,4,36,69,9
1007,Student_1007,F,C1,Science,4,58,16,20,73,8
1007,Student_1007,F,C1,Biology,1,85,0,50,72,3
1007,Student_1007,F,C1,Biology,2,40,16,39,91,1
1007,Student_1007,F,C1,Biology,3,67,7,38,85,1
1007,Student_1007,F,C1,Biology,4,93,2,49,71,0
1007,Student_1007,F,C1,Chemistry,1,93,11,4,89,16
1007,Student_1007,F,C1,Chemistry,2,87,14,22,74,4
1007,Student_1007,F,C1,Chemistry,3,60,13,1,70,18
1007,Student_1007,F,C1,Chemistry,4,78,5,33,97,17
1007,Student_1007,F,C1,Computer,1,73,17,29,74,18
1007,Student_1007,F,C1,Computer,2,73,19,37,92,14
1007,Student_1007,F,C1,Computer,3,99,9,50,76,4
1007,Student_1007,F,C1,Computer,4,68,3,9,76,9
1008,Student_1008,M,C1,Mathematics,1,99,19,23,64,1
1008,Student_1008,M,C1,Mathematics,2,45,20,1,72,10
1008,Student_1008,M,C1,Mathematics,3,82,15,10,82,15
1008,Student_1008,M,C1,Mathematics,4,70,10,15,67,3
1008,Student_1008,M,C1,Science,1,79,3,24,62,2
1008,Student_1008,M,C1,Science,2,66,17,50,78,20
1008,Student_1008,M,C1,Science,3,44,17,27,81,20
1008,Student_1008,M,C1,Science,4,45,0,4,100,11
1008,Student_1008,M,C1,Biology,1,65,13,33,73,12
1008,Student_1008,M,C1,Biology,2,66,8,25,81,14
1008,Student_1008,M,C1,Biology,3,95,10,47,76,3
1008,Student_1008,M,C1,Biology,4,40,7,48,94,19
1008,Student_1008,M,C1,Chemistry,1,54,14,21,73,13
1008,Student_1008,M,C1,Chemistry,2,63,1,44,85,13
1008,Student_1008,M,C1,Chemistry,3,98,18,6,62,14
1008,Student_1008,M,C1,Chemistry,4,62,13,42,77,5
1008,Student_1008,M,C1,Computer,1,74,18,14,84,4
1008,Student_1008,M,C1,Computer,2,67,9,38,76,6
1008,Student_1008,M,C1,Computer,3,61,11,24,76,12
1008,Student_1008,M,C1,Computer,4,59,3,9,62,8
1009,Student_1009,M,C1,Mathematics,1,57,14,35,81,1
1009,Student_1009,M,C1,Mathematics,2,86,7,39,78,9
1009,Student_1009,M,C1,Mathematics,3,80,4,5,85,1
1009,Student_1009,M,C1,Mathematics,4,98,12,5,96,0
1009,Student_1009,M,C1,Science,1,92,20,5,65,15
